section_name,zone,price,listingId,ticketClass,img
418,400 Level,"INR9,237",8621543877,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73810.jpg?im=Resize=(500,271)"
415,400 Level,"INR9,237",8609698793,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73931.jpg?im=Resize=(500,271)"
211,200 Level,"INR9,265",8663502309,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
413,400 Level,"INR9,282",8663521359,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73861.jpg?im=Resize=(500,271)"
210,200 Level,"INR9,306",7725655865,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73820.jpg?im=Resize=(500,271)"
213,200 Level,"INR9,311",8361260338,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
223,200 Level,"INR9,318",8662853693,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73928.jpg?im=Resize=(500,271)"
221,200 Level,"INR9,318",8663687072,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73987.jpg?im=Resize=(500,271)"
226,200 Level,"INR9,348",8608185543,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
224UWC,200 Level,"INR9,360",8664219105,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73981.jpg?im=Resize=(500,271)"
213,200 Level,"INR9,368",8663268833,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
211,200 Level,"INR9,383",8620412597,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
414,400 Level,"INR9,388",8605463809,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
418,400 Level,"INR9,419",8663907380,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73810.jpg?im=Resize=(500,271)"
226,200 Level,"INR9,458",8659351933,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
226,200 Level,"INR9,467",8660932323,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
211,200 Level,"INR9,467",8663321330,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
210,200 Level,"INR9,467",8649823470,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73820.jpg?im=Resize=(500,271)"
226,200 Level,"INR9,468",8654738007,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73919.jpg?im=Resize=(500,271)"
225,200 Level,"INR9,478",8664079807,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73843.jpg?im=Resize=(500,271)"
224,200 Level,"INR9,478",8663687132,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73924.jpg?im=Resize=(500,271)"
213,200 Level,"INR9,478",8660433339,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73777.jpg?im=Resize=(500,271)"
419,400 Level,"INR9,487",7761321087,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73984.jpg?im=Resize=(500,271)"
227,200 Level,"INR9,491",8181720676,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73835.jpg?im=Resize=(500,271)"
218,200 Level,"INR9,498",8664272629,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73957.jpg?im=Resize=(500,271)"
211,200 Level,"INR9,498",8663191182,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
211,200 Level,"INR9,498",8663996076,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73782.jpg?im=Resize=(500,271)"
214,200 Level,"INR9,498",8664171850,3803,"https://img.vggcdn.net/img/vfsnew/2d/3708/73791.jpg?im=Resize=(500,271)"
414,400 Level,"INR9,499",8622266035,8152,"https://img.vggcdn.net/img/vfsnew/2d/3708/73829.jpg?im=Resize=(500,271)"
